日期,開盤價,最高價,最低價,收盤價,成交量,成交值(千元)
2012/8/3,36.42619651,36.53386015,36.282645,36.53386015,5086.836,258148.949
2012/8/6,37.25161771,37.32339347,36.92862681,37.00040256,11035.662,570636.637
2012/8/7,37.03629044,37.07217832,36.89273893,37.03629044,4202.938,216575.121
2012/8/8,37.28750559,37.46694498,37.1080662,37.14395408,9545.045,496033.404
2012/8/9,37.39516923,37.96937528,37.39516923,37.9334874,21225.221,1115574.094
2012/8/10,37.9334874,38.07703891,37.86171164,37.89759952,11291.279,597430.859
2012/8/13,38.04115104,38.22059043,38.00526316,38.04115104,15662.135,831228.91
2012/8/14,38.11292679,38.4359177,38.04115104,38.22059043,16024.047,854491.801
2012/8/15,38.18470255,38.32825406,38.00526316,38.07703891,11946.875,634681.823
2012/8/16,38.11292679,38.40002982,38.04115104,38.18470255,7953.827,423898.219
2012/8/17,38.29236618,38.29236618,38.00526316,38.00526316,5270.885,279669.055
2012/8/20,37.9334874,38.07703891,37.71816013,37.89759952,9862.178,520220.603
2012/8/21,38.00526316,38.61535709,38.00526316,38.32825406,27066.882,1449814.703
2012/8/22,38.29236618,38.32825406,38.04115104,38.29236618,5560.943,295805.638
2012/8/23,38.18470255,38.40002982,38.14881467,38.25647831,8522.486,454199.582
2012/8/24,38.04115104,38.18470255,38.00526316,38.11292679,11023.694,585207.724
2012/8/27,38.36414194,38.4359177,38.04115104,38.18470255,7381.834,392802.836
2012/8/28,38.00526316,38.00526316,37.64638437,37.68227225,9135.416,480748.795
2012/8/29,37.6104965,37.89759952,37.6104965,37.82582377,2819.315,148463.319
2012/8/30,37.64638437,37.82582377,37.6104965,37.71816013,6947.921,364959.725
2012/8/31,37.68227225,37.9334874,37.64638437,37.86171164,3002.955,158160.865
2012/9/3,37.82582377,38.22059043,37.82582377,38.14881467,7153.672,379685.388
2012/9/4,38.14881467,38.25647831,38.04115104,38.07703891,7304.539,387906.709
2012/9/5,37.96937528,37.96937528,37.57460862,37.57460862,5020.171,263425.938
2012/9/6,37.53872074,37.68227225,37.25161771,37.4310571,5866.731,305950.489
2012/9/7,38.11292679,38.18470255,37.89759952,38.00526316,7668.229,406456.587
2012/9/10,38.00526316,38.29236618,37.96937528,38.29236618,8807.199,468548.644
2012/9/11,38.29236618,38.40002982,38.22059043,38.25647831,8196.917,437511.851
2012/9/12,38.57946921,38.86657224,38.57946921,38.79479648,21342.647,1152027.183
2012/9/13,38.90246012,38.97423587,38.79479648,38.86657224,11501.332,623340.689
2012/9/14,39.33311466,39.90732071,39.33311466,39.83554495,35619.4,1967238.249
2012/9/17,39.83554495,40.05087222,39.72788132,39.90732071,20149.767,1120483.476
2012/9/18,39.83554495,39.90732071,39.65610556,39.7637692,17291.813,958882.636
